name,brand,slug,price,gender,category,concentration,scent_notes,intensity,occasion,description,stock_quantity,is_available,image
Pearl Oud,Kilian,kilian-pearl-oud-u,200,U,woody,edp,"Top: szafran, czarny pieprz, irys; Heart: jaśmin, ylang-ylang, róża; Base: oud, paczula, kastoreum",strong,special,"Pearl Oud to luksusowa, unisexowa kompozycja z kolekcji The Smokes. Otwiera się pikantnym szafranem i czarnym pieprzem, przechodząc w kwiatowe serce z jaśminu, ylang-ylang i róży. Głęboka baza z indyjskiego oudu, paczuli i kastoreum nadaje zapachowi intensywnego, zwierzęcego charakteru. To odważny, długotrwały zapach inspirowany kadzidłem i tytoniem, idealny na specjalne okazje.",10,True,products/IMG-20260409-WA0246.jpg
Indomable,Morph,morph-indomable-u,200,U,oriental,edp,"Top: oud, cukier, drewno kaszmirowe; Heart: labdanum, paczula, goździki; Base: wanilia, ambra, białe piżmo",strong,special,"Indomable to orientalno-ambrowa, unisexowa kompozycja, która jest hołdem dla buntowników i wolnych duchów. Otwiera się słodkim połączeniem cukru, oudu i kaszmirowego drewna, przechodząc w korzenne serce z labdanum, paczuli i goździków. Ciepła, otulająca baza z wanilii, ambry i białego piżma tworzy długotrwały, zmysłowy finisz. Idealny na wieczorne wyjścia i specjalne okazje, zwłaszcza w chłodniejsze miesiące.",10,True,products/IMG-20260409-WA0247.jpg
Poppy,Kenzo,kenzo-poppy-k,200,K,floral,edp,"Top: gruszka nashi; Heart: róża bułgarska, gardenia; Base: drewno migdałowca",light,special,"Poppy Bouquet to kwiatowa kompozycja, która celebruje 20-lecie kultowego Flower by Kenzo. Otwiera się świeżością soczystej gruszki nashi, przechodząc w bujne serce z bułgarskiej róży i zmysłowej gardenii. Baza z kremowego drewna migdałowca nadaje zapachowi nowoczesnego, ciepłego charakteru. Stworzony przez Alberto Morillasa i Dorę Baghriche, to idealny wybór na specjalne okazje dla kobiet ceniących elegancję i świeżość.",10,True,products/IMG-20260409-WA0248.jpg
Pour Homme,Michael Kors,michael-kors-pour-homme-m,200,M,fresh,edp,"Top: bergamotka, różowy pieprz, lawenda; Heart: akord morskiej fali, szałwia muszkatołowa, geranium; Base: paczula, wetyweria, szary bursztyn",strong,daily,"Pour Homme to nowoczesna, aromatyczno-cytrusowa woda perfumowana dla mężczyzn. Otwiera się żywą mieszanką bergamotki, różowego pieprzu i lawendy, przechodząc w morskie serce z akordem fali, szałwią i geranium. Ciepła, aksamitna baza z paczuli, wetywerii i szarego bursztynu nadaje zapachowi głębi i elegancji. Idealny na co dzień, oddaje energię i świeżość oceanu.",10,True,products/IMG-20260409-WA0249.jpg
Olympea,Rabanne,rabanne-olympea-k,200,K,oriental,edp,"Top: słona wanilia, jaśmin wodny; Heart: kwiat imbiru, zielona mandarynka; Base: ambra, drewno kaszmirowe",strong,special,"Olympea to orientalno-drzewna kompozycja, która przywraca siłę kobietom. Otwiera się zmysłowym, słodko-słonym duetem wanilii i wodnego jaśminu, przechodząc w serce z kwiatu imbiru i zielonej mandarynki. Głęboka, kusząca baza z ambry i kaszmirowego drewna nadaje zapachowi karnalnego, długotrwałego charakteru. To idealny wybór na wieczorne wyjścia, który sprawia, że kobiety czują się jak boginie.",10,True,products/IMG-20260409-WA0250.jpg
Devotion,Dolce & Gabbana,dolce-gabbana-devotion-k,200,K,oriental,edp,"Top: kandyzowana cytryna; Heart: kwiat pomarańczy, panacotta, rum; Base: wanilia",strong,special,"Devotion to zmysłowa, uspokajająca kompozycja amber-vanilla, która symbolizuje oddanie. Otwiera się słodką nutą kandyzowanej cytryny, przechodząc w delikatne i świeże serce z kwiatu pomarańczy, panacotty i rumu. Ciepła baza wanilii nadaje zapachowi zmysłowego, słodkiego charakteru. Stworzony przez Oliviera Crespa w 2023 roku, idealny na wieczorne wyjścia i specjalne okazje.",10,True,products/IMG-20260409-WA0251.jpg
Nomade Nuit d'Egypte,Chloé,chloe-nomade-nuit-degypte-k,200,K,oriental,edp,"Top: mirra, cynamon, imbir; Heart: kwiat pomarańczy, kyphi, żarnowiec; Base: wanilia, opoponaks, cypriol",strong,special,"Nomade Nuit d'Egypte to kwiatowo-korzenno-ambrowa kompozycja, która oddaje magię egipskiej nocy. Otwiera się mocnymi nutami mirry, cynamonu i imbiru, przechodząc w serce z kwiatu pomarańczy i tradycyjnej egipskiej mieszanki kadzideł kyphi. Baza z wanilii, opoponaksu i cypriolu nadaje zapachowi słodkiego, balsamicznego finiszu. Idealny na wieczorne wyjścia i specjalne okazje.",10,True,products/IMG-20260409-WA0252.jpg
Aoud Jasmine,Montale,montale-aoud-jasmine-u,200,U,oriental,edp,"Top: mandarynka, gruszka, jabłko; Heart: jaśmin indyjski, róża, oud; Base: piżmo, bursztyn",strong,special,"Aoud Jasmine to orientalno-kwiatowa kompozycja unisex, wydana w 2016 roku. Otwiera się świeżymi, owocowymi nutami mandarynki, gruszki i jabłka, przechodząc w zmysłowe serce z jaśminu indyjskiego, róży i oudu z Nepalu. Baza z piżma i bursztynu zapewnia długotrwały, kuszący ślad. Idealny na formalne i wieczorowe okazje.",10,True,products/IMG-20260409-WA0253.jpg
Fleur Narcotique,Ex Nihilo,ex-nihilo-fleur-narcotique-u,200,U,floral,edp,"Top: bergamotka, liczi, brzoskwinia; Heart: jaśmin, piwonia, kwiat pomarańczy; Base: przezroczyste drewno, mech, piżmo",strong,special,"Fleur Narcotique to zwiewna, kwiatowo-owocowa kompozycja unisex, stworzona przez Quentina Bischa. Otwiera się soczystą mieszanką bergamotki, liczi i brzoskwini, przechodząc w bukiet jaśminu, piwonii i kwiatu pomarańczy. Baza z przezroczystego drewna, mchu i piżma tworzy nowoczesny, drzewno-muskowy finisz. Zapach jest świeży, elegancki i idealny na specjalne okazje.",10,True,products/IMG-20260409-WA0254.jpg
Phantom,Rabanne,rabanne-phantom-m-1,200,M,woody,edp,"Top: kardamon, bergamotka, rabarbar, cytryna; Heart: lawenda, paczula, cedr, geranium; Base: wanilia, balsam tolu, wetyweria z Haiti",strong,special,"Phantom Parfum to aromatyczno-drzewna woda perfumowana dla mężczyzn, wydana w 2023 roku. Otwiera się świeżymi, korzennymi nutami kardamonu, bergamotki, rabarbaru i cytryny, przechodząc w serce z lawendy, paczuli, cedru i geranium. Ciepła baza z wanilii, balsamu tolu i wetywerii z Haiti zapewnia intensywny, zmysłowy ślad. Idealny na wieczorne wyjścia i specjalne okazje.",10,True,products/IMG-20260409-WA0255.jpg
Mango Manga,Montale,montale-mango-manga-u,200,U,fresh,edp,"Top: mango, pomarańcza, neroli; Heart: jaśmin, ylang-ylang; Base: cedr, wetyweria, mech dębowy",strong,daily,"Mango Manga to żywa, słoneczna kompozycja unisex z 2010 roku. Otwiera się soczystym, tropikalnym mango i słodką pomarańczą z dodatkiem neroli. W sercu wyczuwalne są jaśmin i ylang-ylang, które nadają zapachowi egzotycznego charakteru. Baza z cedru, wetywerii i mchu dębowego zapewnia głębię i trwałość. Idealny na co dzień, szczególnie wiosną i latem.",10,True,products/IMG-20260409-WA0256.jpg
Roses Vanille,Mancera,mancera-roses-vanille-k,200,K,oriental,edp,"Top: cytryna kalabryjska; Heart: róża, turecka rozkosz; Base: cedr, wanilia, białe piżmo",strong,special,"Roses Vanille to orientalno-gourmandowa kompozycja dla kobiet. Otwiera się świeżą cytryną kalabryjską, przechodząc w słodkie, zmysłowe serce z róży i tureckiej rozkoszy (rahata lokum). Baza z cedru, wanilii i białego piżma tworzy ciepły, kremowy finisz. Zapach jest słodki, kuszący i długotrwały, idealny na wieczorne wyjścia.",10,True,products/IMG-20260409-WA0257.jpg
Good Girl,Carolina Herrera,carolina-herrera-good-girl-k-2,200,K,floral,edp,"Top: migdał, kawa; Heart: jaśmin sambac, tuberoza; Base: fasola tonka, kakao, drzewo sandałowe, wanilia",strong,special,"Good Girl to kwiatowo-orientalna kompozycja dla kobiet, symbolizująca dualizm natury kobiety. Otwiera się migdałem i kawą, przechodząc w jasne, kwiatowe serce z jaśminu sambac i tuberozy. Baza z fasoli tonka, kakao, drzewa sandałowego i wanilii nadaje zapachowi ciemnego, zmysłowego charakteru. Kultowy flakon w kształcie szpilki. Idealny na wieczorne wyjścia.",10,True,products/IMG-20260409-WA0258.jpg
Mon Guerlain,Guerlain,guerlain-mon-guerlain-k,200,K,floral,edp,"Top: lawenda, bergamotka; Heart: irys, jaśmin sambac; Base: wanilia tahitańska, drzewo sandałowe, kumaryna",strong,daily,"Mon Guerlain to hołd dla silnej, wolnej i zmysłowej kobiecości. Otwiera się świeżą, ziołową nutą lawendy i bergamotki, przechodząc w pudrowe serce z irysa i jaśminu sambac. Baza z wanilii tahitańskiej, australijskiego drzewa sandałowego i kumaryny tworzy otulający, elegancki finisz. Zapach inspirowany Angeliną Jolie, idealny na co dzień.",10,True,products/IMG-20260409-WA0259.jpg
212 VIP Black,Carolina Herrera,carolina-herrera-212-vip-black-m,200,M,oriental,edp,"Top: absynt, anyż, koper włoski; Heart: lawenda; Base: czarna wanilia, piżmo",strong,special,"212 VIP Black to aromatyczno-fougère'owa kompozycja dla mężczyzn, stworzona przez Carlosa Benaima i Anne Flipo. Otwiera się mocnym, ziołowo-przyprawowym akordem absyntu, anyżu i kopru włoskiego. W sercu wyczuwalna jest lawenda, która nadaje zapachowi świeżości i elegancji. Baza z czarnej wanilii i piżma tworzy zmysłowy, słodko-drzewny finisz. Idealny na wieczorne wyjścia.",10,True,products/IMG-20260409-WA0260.jpg
Vert Malachite eau de parfum,Giorgio Armani,giorgio-armani-vert-malachite-eau-de-parfum-u,200,U,floral,edp,"Top: bitter orange, petitgrain; Heart: lily, jasmine sambac, ylang-ylang, pink pepper; Base: vanilla, benzoin",strong,special,"Vert Malachite to część ekskluzywnej kolekcji Armani/Privé, inspirowana rozległymi, dzikimi terenami Rosji. Ta delikatna, a zarazem odurzająca kwiatowa kompozycja otwiera się nutami gorzkiej pomarańczy i petitgrain. W sercu dominuje biała lilia, jaśmin sambac, ylang-ylang i różowy pieprz, tworząc bogaty, świetlisty bukiet. Baza wanilii i benzoiny nadaje zapachowi zmysłowej głębi. Idealny na specjalne okazje, dla kobiet i mężczyzn ceniących luksusową elegancję.",10,True,products/IMG-20260409-WA0261.jpg
Bad Boy Extreme,Carolina Herrera,carolina-herrera-bad-boy-extreme-m,200,M,woody,edp,"Top: sage, ginger; Heart: vetiver, cocoa; Base: tonka bean, patchouli",strong,special,"Bad Boy Extreme to ognista ewolucja kultowego zapachu, wyrażająca płomienną więź braterstwa. Ta aromatyczno-drzewna kompozycja otwiera się szałwią i pikantnym imbirem. W sercu ziemista wetyweria przeplata się z kremowym kakao, a baza z fasoli tonka i paczuli zapewnia ciepły, bursztynowy finisz. To idealny wybór na wieczorne wyjścia dla pewnych siebie, charyzmatycznych mężczyzn.",10,True,products/IMG-20260409-WA0262.jpg
Rouge Malachitte,Giorgio Armani,giorgio-armani-rouge-malachitte-u,200,U,oriental,edp,"Top: tuberose, pink pepper, clary sage; Heart: jasmine sambac, ylang-ylang, orange blossom, benzoin, cashmeran; Base: amber",strong,special,"Rouge Malachite z kolekcji Armani/Privé to zmysłowa, orientalno-kwiatowa kompozycja unisex. Otwiera się odurzającą tuberozą, różowym pieprzem i szałwią muszkatołową. W sercu jaśmin, ylang-ylang i kwiat pomarańczy łączą się z benzoiną i cashmeranem, tworząc bogaty, kremowy bukiet. Głęboka baza z ambry nadaje zapachowi luksusowej, długotrwałej głębi. Idealny na wieczorne wyjścia.",10,True,products/IMG-20260409-WA0263.jpg
Bad Boy Le Parfum,Carolina Herrera,carolina-herrera-bad-boy-le-parfum-m,200,M,woody,edp,"Top: grapefruit, hemp; Heart: black pepper, geranium; Base: leather, vetiver",strong,special,"Bad Boy Le Parfum to buntownicza, aromatyczno-drzewna kompozycja, która uosabia dualizm nowoczesnego mężczyzny. Otwiera się energetyzującym grejpfrutem i elektryzującym konopiem. W sercu pikantny czarny pieprz i geranium dodają charakteru. Baza z ciepłej skóry i drzewnej wetywerii tworzy zmysłowy, długotrwały ślad. Idealny na wieczór, dla mężczyzn, którzy łamią zasady.",10,True,products/IMG-20260409-WA0264.jpg
Oud Royal,Giorgio Armani,giorgio-armani-oud-royal-u,200,U,woody,edp,"Top: saffron, incense; Heart: rose, spices, myrrh; Base: oud, amber, sandalwood, guaiac wood",strong,special,"Oud Royal z kolekcji Armani/Privé to hymn na cześć orientu i cennego drewna oud. Ta bogata, bursztynowo-drzewna kompozycja otwiera się szafranem i kadzidłem. W sercu róża i korzenne nuty przeplatają się z mirrą. Głęboka baza z oudu, ambry, sandałowca i gwajaku tworzy luksusowy, opulentny i bardzo trwały ślad. Idealny na wyjątkowe okazje.",10,True,products/IMG-20260409-WA0265.jpg
Le Male Elixir,Jean Paul Gaultier,jean-paul-gaultier-le-male-elixir-m,200,M,oriental,parfum,"Top: lavender, mint, bergamot; Heart: vanilla, benzoin; Base: honey, tonka bean, tobacco",strong,special,"Le Male Elixir to najintensywniejszy rekrut w załodze Jean Paul Gaultier, który rozpala zmysły. Ta orientalno-fougère'owa kompozycja otwiera się orzeźwiającą lawendą i miętą. W sercu słodka wanilia i żywiczny benzoes nadają ciepła. Baza z miodu, fasoli tonka i tytoniu tworzy głęboki, zmysłowy i uzależniający finisz. Idealny na chłodniejsze wieczory.",10,True,products/IMG-20260409-WA0266.jpg
Le Beau Paradise Garden,Jean Paul Gaultier,jean-paul-gaultier-le-beau-paradise-garden-m,200,M,fresh,edp,"Top: green notes, watery notes, mint, ginger; Heart: coconut, fig, salt; Base: tonka bean, sandalwood",strong,daily,"Le Beau Paradise Garden to podróż do tropikalnego raju, oddająca zmysłową świeżość zielonych ogrodów. Ta drzewno-akwatyczna kompozycja otwiera się zielonymi nutami, akordem wodnym, miętą i imbirem. W sercu słodki kokos, zielona figa i sól tworzą słony, kremowy akcent. Baza z fasoli tonka i sandałowca zapewnia ciepłe, zmysłowe wykończenie. Idealny na co dzień, dla energicznych mężczyzn.",10,True,products/IMG-20260409-WA0267.jpg
Divine,Jean Paul Gaultier,jean-paul-gaultier-divine-k,200,K,oriental,edp,"Top: calypsone, red berries, bergamot; Heart: lily, jasmine, ylang-ylang; Base: meringue, musk, patchouli",strong,special,"Divine to hołd dla kobiet, celebrujący ich boską i zmysłową naturę. Ta intensywna, bursztynowo-kwiatowa kompozycja otwiera się słodką, owocową nutą calypsone, czerwonych jagód i bergamotki. W sercu lilia, jaśmin i ylang-ylang tworzą odurzający bukiet. Baza z bezy, piżma i paczuli nadaje słodki, kremowy finisz. Idealny na wieczorne wyjścia, wydobywa kobiecy blask.",10,True,products/IMG-20260409-WA0268.jpg
Le Beau,Jean Paul Gaultier,jean-paul-gaultier-le-beau-m,200,M,fresh,edt,Top: bergamot; Heart: coconut; Base: tonka bean,light,daily,"Le Beau to aromatyczno-drzewna woda toaletowa, która zaprasza do legendarnego ogrodu Gaultiera. Otwiera się świeżą, cytrusową bergamotą. W sercu wyczuwalna jest kremowa nuta kokosa, która nadaje zapachowi egzotycznego, relaksującego charakteru. Baza z fasoli tonka zapewnia słodkie, zmysłowe zakończenie. Idealny na co dzień, dla mężczyzn szukających lekkiego, tropikalnego akcentu.",10,True,products/IMG-20260409-WA0269.jpg
WARDÉ,KAJAL,kajal-warde-u,200,U,woody,edp,"Top: pine, black currant, absinthe, artemisia; Heart: rose, white flowers, jasmine, orange blossom, violet; Base: balsam fir, patchouli, moss, musk, oud",strong,special,"Wardé to bogata, unisexowa kompozycja, która celebruje piękno obfitości i bogactwa. Otwiera się ciemną, hipnotyczną mieszanką sosny, czarnej porzeczki, absyntu i armozy. W sercu wykwintny bukiet z róży, białych kwiatów, jaśminu, pomarańczy i fiołka. Baza z jodły balsamicznej, paczuli, mchu, piżma i oudu tworzy głęboki, żywiczny i długotrwały ślad. Idealny na specjalne okazje.",10,True,products/IMG-20260409-WA0270.jpg
For Her,Narciso Rodriguez,narciso-rodriguez-for-her-k-1,200,K,floral,edp,"Top: róża, brzoskwinia; Heart: piżmo, bursztyn; Base: paczula, drzewo sandałowe",strong,special,"For Her to kwiatowo-drzewno-piżmowy zapach, który stał się współczesnym klasykiem. Otwiera się zmysłowym połączeniem róży i brzoskwini, przechodząc w charakterystyczne dla marki, głębokie serce z piżma i bursztynu. Baza z paczuli i sandałowca nadaje kompozycji eleganckiego, trwałego finiszu. To zmysłowy, długotrwały zapach dla kobiet, idealny na wieczór.[reference:0]",10,True,products/IMG-20260409-WA0271.jpg
La Belle,Jean Paul Gaultier,jean-paul-gaultier-la-belle-k,200,K,oriental,edp,"Top: gruszka, bergamotka; Heart: nuty kwiatowe, skóra; Base: wanilia, wetyweria, bursztyn, piżmo",strong,special,"La Belle to zmysłowa, orientalno-waniliowa kompozycja dla kobiet. Otwiera się soczystą gruszką i bergamotką, przechodząc w kwiatowe serce z akcentem skóry. Ciepła, otulająca baza z wanilii, wetywerii, bursztynu i piżma nadaje zapachowi głębi i elegancji. Idealny na wieczorne wyjścia i specjalne okazje.[reference:1][reference:2]",10,True,products/IMG-20260409-WA0272.jpg
Annone,Pantheon Roma,pantheon-roma-annone-u,200,U,oriental,edp,"Top: szafran, mango, bergamotka; Heart: róża, irys; Base: oud, cypriol, piżmo",strong,special,"Annone to orientalno-kwiatowa, unisexowa kompozycja, która łączy w sobie egzotyczny mango i pikantny szafran z kwiatowym sercem róży i irysa. Głęboka, żywiczna baza z oudu, cypriolu i piżma nadaje zapachowi tajemniczego, długotrwałego charakteru, przywołując na myśl elegancję Wschodu. Idealny na wieczorne wyjścia.[reference:3][reference:4]",10,True,products/IMG-20260409-WA0273.jpg
Intense,Dior Homme,dior-homme-intense-m,200,M,woody,edp,"Top: irys; Heart: nasiona ambrette, gruszka; Base: cedr wirginijski, wetyweria, piżmo",strong,special,"Dior Homme Intense to bogata, pudrowo-drzewna kompozycja dla mężczyzn. Otwiera się aksamitnym, kwiatowym irysem, który przechodzi w serce z musujących nasion ambrette i delikatnej gruszki. Baza z ciepłego cedru wirginijskiego, ziemistej wetywerii i zmysłowego piżma tworzy elegancki, długotrwały finisz. Idealny na wieczorne wyjścia.[reference:5][reference:6]",10,True,products/IMG-20260409-WA0274.jpg
Joy Intense,Dior,dior-joy-intense-k,200,K,floral,edp,"Top: bergamotka, neroli; Heart: róża z Grasse, jaśmin z Grasse; Base: fasola tonka, wanilia, drzewo sandałowe, piżmo",strong,special,"Joy Intense to głębsza, bardziej zmysłowa odsłona Joy by Dior, stworzona dla kobiet pragnących intensywniejszego doświadczenia. Otwiera się świeżą bergamotką i nerolem, przechodząc w serce z aksamitną różą i jaśminem z Grasse. Ciepła baza z fasoli tonka, wanilii i sandałowca nadaje kompozycji słodkiego, otulającego charakteru. Idealny na wieczorne wyjścia i specjalne okazje.",10,True,products/IMG-20260409-WA0275.jpg
Intense,Dior Homme,dior-homme-intense-m-1,200,M,woody,edp,"Top: irys; Heart: nasiona ambrette, gruszka; Base: cedr wirginijski, wetyweria, piżmo",strong,special,"Dior Homme Intense to bogata, pudrowo-drzewna kompozycja dla mężczyzn. Otwiera się aksamitnym, kwiatowym irysem, który przechodzi w serce z musujących nasion ambrette i delikatnej gruszki. Baza z ciepłego cedru wirginijskiego, ziemistej wetywerii i zmysłowego piżma tworzy elegancki, długotrwały finisz. Idealny na wieczorne wyjścia.",10,True,products/IMG-20260409-WA0274.jpg
Eden Juicy Apple,Kayali,kayali-eden-juicy-apple-u,200,U,fresh,edp,"Top: czerwone jabłko, czarna porzeczka, różowy grejpfrut, liczi; Heart: dzikie jagody, kwiat maliny, jaśmin, róża centifolia; Base: kwiat wanilii, kryształy bursztynu, kandyzowany mech, piżmo",light,daily,"Eden Juicy Apple to soczysta, radosna i uwodzicielska kompozycja unisex, która jest owocem współpracy z influencerką Larą. Otwiera się eksplozją słodkiego, czerwonego jabłka i liczi. W sercu wyczuwalne są dzikie jagody i jaśmin, a baza z wanilii, bursztynu i piżma nadaje zapachowi ciepła i głębi. Idealny na co dzień, dla osób szukających słodkiego, energetyzującego akcentu.[reference:9][reference:10]",10,True,products/IMG-20260409-WA0276.jpg
Lovefest Burning Cherry 48,Kayali,kayali-lovefest-burning-cherry-48-u,200,U,woody,edp,"Top: płonąca czarna wiśnia, malina, bergamotka; Heart: róża damasceńska, jaśmin sambac, heliotrop, praliné; Base: palo santo, gwajak, paczula, balsam peruwiański, fasolka tonka, wetyweria",strong,special,"Lovefest Burning Cherry to zmysłowa, drzewno-gourmandowa kompozycja unisex. Otwiera się soczystą, płonącą czarną wiśnią i maliną. W sercu kwiatowa róża damasceńska i jaśmin przełamane są słodkim praliné. Baza z dymnego palo santo, gwajaku, paczuli i fasolki tonka tworzy intensywny, długotrwały ślad. Idealny na wieczorne wyjścia.[reference:11][reference:12]",10,True,products/IMG-20260409-WA0277.jpg
Fahrenheit,Dior,dior-fahrenheit-m,200,M,woody,edt,"Top: mandarynka, lawenda, gałka muszkatołowa; Heart: liść fiołka, cedr, jaśmin; Base: skóra, wetyweria, bursztyn, piżmo",strong,special,"Fahrenheit to legendarne, nowatorskie arcydzieło, które na zawsze zmieniło świat perfum męskich. Ta drzewno-skórzana kompozycja otwiera się świeżością mandarynki i lawendy z pikantnym akcentem gałki muszkatołowej. W sercu dominuje kultowy, metaliczny liść fiołka, a baza z ciepłej skóry i bursztynu nadaje mu zmysłowego, niezwykle trwałego charakteru. Idealny na wieczorne wyjścia.",10,True,products/IMG-20260409-WA0278.jpg
ELIXIR II,KAYALI,kayali-elixir-ii-u,200,U,oriental,edp,"Top: czerwone jabłko, płatek róży; Heart: róża centifolia, jaśmin sambac; Base: piżmo, bursztyn, paczula, brązowy cukier",strong,special,"Elixir | 11 to romantyczna, orientalno-kwiatowa kompozycja unisex. Otwiera się słodkim duetem czerwonego jabłka i płatka róży, przechodząc w bogate serce z róży centifolia i jaśminu sambac. Baza z piżma, bursztynu, paczuli i brązowego cukru nadaje zapachowi zmysłowej głębi i słodyczy. Idealny na wieczorne wyjścia.[reference:15]",10,True,products/IMG-20260409-WA0279.jpg
Vanilla Candy Rock Sugar 42,KAYALI,kayali-vanilla-candy-rock-sugar-42-k-1,200,K,oriental,edp,"Top: kandyzowana gruszka, liście fiołka, rum, ylang-ylang, ptasie mleczko, wanilia; Heart: jaśmin, labdanum, karmel, guma balonowa, żelki; Base: drzewo kaszmirowe, paczula, drzewo sandałowe, cukier, fasolka tonka, wetyweria",strong,special,"Vanilla Candy Rock Sugar to słodka, fantazyjna i uwodzicielska kompozycja, hołd dla dziecięcej radości i słodyczy. Otwiera się eksplozją kandyzowanej gruszki, wanilii i gumy balonowej. W sercu wyczuwalny jest jaśmin, karmel, a nawet żelki. Baza z drzewa kaszmirowego, sandałowca i fasolki tonka zapewnia ciepłe i słodkie zakończenie. Flakon w kolorze żółtym to limitowana edycja tej kultowej kompozycji.",10,True,products/IMG-20260409-WA0280.jpg
Ombre Nomade,Louis Vuitton,louis-vuitton-ombre-nomade-u,200,U,woody,edp,"Top: raspberry, geranium; Heart: oud, incense, rose; Base: leather, benzoin, saffron",strong,special,"Ombre Nomade to intensywna, unisexowa kompozycja stworzona przez Jacques'a Cavalliera Belletrud. To hołd dla legendarnego drewna oud, które zostało połączone z nutami maliny, geranium i szczyptą szafranu. Zapach otwiera się zmysłowym akordem oudu i owocowymi akcentami, przechodząc w dymne serce z kadzidłem i różą. Głęboka baza ze skóry i benzoiny nadaje mu tajemniczego, długotrwałego charakteru. Inspirowany pustynnymi krajobrazami, idealny na wieczorne wyjścia.",10,True,products/IMG-20260409-WA0281.jpg
Black Opium,Yves Saint Laurent,yves-saint-laurent-black-opium-k,200,K,oriental,edp,"Top: coffee, pink pepper, pear; Heart: orange blossom, jasmine; Base: vanilla, patchouli, cedarwood",strong,special,"Black Opium to kultowa, orientalno-gourmandowa kompozycja dla kobiet, która jest rock'n'rollową interpretacją klasycznego Opium. Otwiera się energetyzującą nutą czarnej kawy, różowego pieprzu i gruszki. W sercu zmysłowy jaśmin łączy się z kwiatem pomarańczy. Baza z wanilii, paczuli i cedru tworzy słodki, uzależniający i długotrwały finisz. Idealny na wieczorne wyjścia, dla pewnych siebie, nowoczesnych kobiet.",10,True,products/IMG-20260409-WA0282.jpg
Libre Absolu Platine,Yves Saint Laurent,yves-saint-laurent-libre-absolu-platine-k,200,K,floral,edp,"Top: aldehydes, bergamot, mandarin; Heart: orange blossom, lavender, white lavender; Base: vanilla, amber",strong,special,"Libre L'Absolu Platine to najintensywniejsza i najbardziej świecąca wersja kultowego Libre. Ta kwiatowa kompozycja dla kobiet otwiera się iskrzącą mieszanką aldehydów, bergamotki i mandarynki. W sercu kontrastują ze sobą zmysłowy kwiat pomarańczy z odważną, mroźną lawendą i białą lawendą. Baza z wanilii i bursztynu tworzy zmysłowy, długotrwały finisz. Idealny na wieczorne wyjścia i specjalne okazje.",10,True,products/IMG-20260409-WA0283.jpg
Supreme Bouquet,Yves Saint Laurent,yves-saint-laurent-supreme-bouquet-u,200,U,floral,edp,"Top: pink pepper, bergamot, pear; Heart: tuberose, ylang-ylang, jasmine; Base: amber, woody notes, patchouli",strong,special,"Supreme Bouquet to luksusowa, unisexowa kompozycja z kolekcji Le Vestiaire des Parfums, stworzona przez Dominique'a Ropiona. Otwiera się świeżością bergamotki, różowego pieprzu i gruszki. W sercu rozkwita bujny bukiet białych kwiatów: tuberozy, ylang-ylang i jaśminu. Baza z ambry, nut drzewnych i paczuli nadaje zapachowi ciepła i głębi. To opulentny, kwiatowy zapach idealny na wieczorne wyjścia.",10,True,products/IMG-20260409-WA0284.jpg
Black Opium,Yves Saint Laurent,yves-saint-laurent-black-opium-k-1,200,K,oriental,edp,"Top: coffee, pink pepper, pear; Heart: orange blossom, jasmine; Base: vanilla, patchouli, cedarwood",strong,special,"Black Opium to kultowa, orientalno-gourmandowa kompozycja dla kobiet, która jest rock'n'rollową interpretacją klasycznego Opium. Otwiera się energetyzującą nutą czarnej kawy, różowego pieprzu i gruszki. W sercu zmysłowy jaśmin łączy się z kwiatem pomarańczy. Baza z wanilii, paczuli i cedru tworzy słodki, uzależniający i długotrwały finisz. Idealny na wieczorne wyjścia, dla pewnych siebie, nowoczesnych kobiet.",10,True,products/IMG-20260409-WA0285.jpg
Libre,Yves Saint Laurent,yves-saint-laurent-libre-k-2,200,K,floral,edp,"Top: lavender, mandarin, neroli; Heart: orange blossom, jasmine; Base: vanilla, musk, amber",strong,special,"Libre to kwiatowo-fougère'owa kompozycja dla kobiet, która jest hołdem dla wolności i buntu. Otwiera się orzeźwiającą lawendą, mandarynką i neroli. W sercu zmysłowy kwiat pomarańczy z Maroka łączy się z jaśminem. Baza z wanilii, piżma i bursztynu tworzy ciepły, otulający finisz. To ikoniczny, długotrwały zapach dla pewnych siebie kobiet, idealny zarówno na co dzień, jak i na wieczór.",10,True,products/IMG-20260409-WA0286.jpg
Black Opium,Yves Saint Laurent,yves-saint-laurent-black-opium-k-2,200,K,oriental,edp,"Top: coffee, pink pepper, pear; Heart: orange blossom, jasmine; Base: vanilla, patchouli, cedarwood",strong,special,"Black Opium to kultowa, orientalno-gourmandowa kompozycja dla kobiet, która jest rock'n'rollową interpretacją klasycznego Opium. Otwiera się energetyzującą nutą czarnej kawy, różowego pieprzu i gruszki. W sercu zmysłowy jaśmin łączy się z kwiatem pomarańczy. Baza z wanilii, paczuli i cedru tworzy słodki, uzależniający i długotrwały finisz. Idealny na wieczorne wyjścia, dla pewnych siebie, nowoczesnych kobiet.",10,True,products/IMG-20260409-WA0287.jpg
